	Name	Name2	Location	N2	Lat	Lon
1	Lamar & Bagby	Lamar & Bagby	473 McKinney St.	Downtown	29.75983	-95.36949
2	Clay & Smith	Clay & Smith	554 Clay St	Downtown	29.75616	-95.37112
3	Crawford Island	Crawford Island	925 Crawford Street	Downtown	29.75444	-95.3592
4	Downtown Transit Center METRORail	Downtown Transit Center METRORail	1900 Main Street	Downtown	29.74976946	-95.37072931
5	Jury Assembly	Jury Assembly	1202 Franklin Street	Downtown	29.76161	-95.35802
6	LaBranch & Lamar	La Branch & Lamar	1075 La Branch	Downtown	29.75378	-95.3612
7	Lamar & Crawford (formerly GRB)	Lamar & Crawford	1177 Crawford	Downtown	29.75245	-95.36076
8	Lamar & Milam	Lamar & Milam	782 Lamar	Downtown	29.75737	-95.36762
9	Main & Dallas	Main & Dallas	1250 Main	Downtown	29.75514	-95.36625
10	Main Street Square METRORail Main & Walker	Main Street Square METRORail Main & Walker	914 Main St.	Downtown	29.75764	-95.36436
11	Market Square	Market Square	864 Congress St.	Downtown	29.76276	-95.36198
12	Lamar & Caroline	Lamar & Caroline	1248 McKinney	Downtown	29.75558	-95.36249
13	Smith & Capitol	Smith & Capitol	612 Smith Street	Downtown	29.7617	-95.36647
14	Tellepsen YMCA	Tellepsen YMCA	808 Pease St	Downtown	29.75256	-95.37067
15	Lamar & Caroline	Lamar & Caroline	1300 Lamar St	Downtown	29.75462	-95.36281
16	Root Square @ Austin & Clay	Root Square	1400 Clay St	Downtown	29.75181	-95.36385
17	Convention Center	Convention Center	1001 Avenidas De Las Americas	Downtown	29.75435	-95.35749
18	8th Wonder	8th Wonder	"2202 Dallas St., Houston, TX 77003"	East Downtown	29.7492	-95.3556
19	Dallas & St. Emanuel	Dallas & St Emmanuel	"2105 Dallas St Houston, Tx 77003"	East Downtown	29.7501193	-95.3564807
20	EaDo Stadium METRORail	EaDo Stadium METRORail	2412 Texas St	East Downtown	29.75253488	-95.35007738
21	Fifth Ward CRC Lyons & Waco	Fifth Ward CRC Lyons & Waco	"4300 Lyons Ave Houston, TX 77020"	Fifth Ward	29.776009	-95.326715
22	Legacy Community Health Lyons Clinic	Legacy Community Health Lyons Clinic	3811 Lyons Ave	Fifth Ward	29.77605	-95.33176
23	Deluxe Theatre	Deluxe Theater	3305 Lyons Ave	Fifth Ward	29.77603922	-95.33680994
24	5th Ward/ Denver Harbor Transit Center	5th Ward/ Denver Harbor Transit Center	5602 Lyons Ave.	Fifth Ward	29.77600071	-95.31537647
25	Boyce Dorian Park	Boyce- Dorian Park	2020 Solo Street	Fifth Ward	29.77953	-95.32026
26	Finnigan Park	Finnigan Park	"4900 Providence St., Houston, TX 77020"	Fifth Ward	29.7702	-95.320165
27	Mickey Leland Memorial Park 	Mickey Leland Memorial Park	"3701 Cavalcade St, Houston, TX 77026"	Fifth Ward	29.800964	-95.333735
28	1919 Runnels	1919 Runnels	1919 Runnels	Greater East End	29.76073	-95.348
29	Guadalupe Park Plaza	Guadalupe Plaza Park	238 Flynn Street	Greater East End	29.75967	-95.34531
30	Mason Park	Mason Park	541 S 75th St	Greater East End	29.724478	-95.294097
31	Nagivation Esplanade	Navigation Esplanade	2501 Navigation Blvd	Greater East End	29.75793	-95.34371
32	Magnolia Transit Center	Magnolia Transit Center	6948 Harrisburg Blvd	Greater East End	29.73548421	-95.30266147
33	Gateway on Cullen	Gateway on Cullen	1815 Cullen Blvd	Greater East End	29.7341	-95.34114
34	Telephone & Eddington	Telephone & Eddington	"619 Telephone Rd Houston, Tx 77023"	Greater East End	29.735086	-95.331002
35	Eastwood Park	Eastwood Park	5000 Harrisburg Blvd	Greater East End	29.74252	-95.32492
36	Harrisburg & Sampson	Harrisburg & Sampson	"3315 Harrisburg Blvd #400, Houston, TX 77003"	Greater East End	29.748526	-95.34145
37	Bobcat Teddys	Bobcat Teddys	2803 White Oak Dr.	Heights	29.78152297	-95.38889458
38	Heights Central Station	Heights Central Station	1051 Heights Blvd	Heights	29.79049	-95.39789
39	Heights Mercantile	Heights Mercantile	703 Yale St	Heights	29.78335	-95.39888
40	Heights MKT Trail @ N Shepherd	Heights MKT Trail @ N Shepherd	700 N Shepherd Dr	Heights	29.78328	-95.40952
41	Montie Beach Park	Montie Beach Park	915 Northwood St.	Heights	29.80017	-95.37847
42	Stude Park	Stude Park	2300 Forester	Heights	29.77909	-95.38566
43	Woodland Park	Woodland Park	2760 Houston Ave	Heights	29.78269	-95.37175
44	Heights HEB	Heights HEB	N. Shepherd & 23rd	Heights	29.80698	-95.40977
45	19th & Rutland	19th & Rutland	249 W 19th St	Heights	29.80300985	-95.40123608
46	Heights Waterworks	Heights Waterworks	"449 W. 19th Street Houston, TX 77008"	Heights	29.80373	-95.40582
47	Centennial Gardens	Centennial Gardens	1500 Hermann Dr.	Hermann Park	29.72021292	-95.38647101
48	Hermann Park Bill Coats Bridge @ Almeda	Hermann Park Bill Coats Bridge @ Almeda	6340 Almeda Road	Hermann Park	29.70973	-95.38344
49	Hermann Park Lake Plaza	Hermann Park Lake Plaza	6100 Hermann Park Drive	Hermann Park	29.71732	-95.38919
50	Hermann Park Rice U METROrail	Hermann Park/Rice U METROrail	6050 Fannin St	Hermann Park	29.72004	-95.3932
